Primary_ID,Seconday_ID,Rule_Name,Severity,Category,Rule_Type,Cloud_Provider,Description,Service,CVS_Rule_ID,Terraform_URL
1.31.1.4,1.31.1,service_bus_namespace_have_local_auth_enabled,HIGH,IAM Protection,custom,azure,Azure Service Bus must have local auth disabled,SERVICE_BUS,CSE-PC-AZURE-SERVICEBUS-13114,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/servicebus_namespace#local_auth_enabled-1
1.31.2.1,1.31.2,service_bus_namespace_is_not_using_cmek_for_encryption,HIGH,Data Protection,custom,azure,Configure customer-managed keys for encrypting Azure Service Bus data at rest,SERVICE_BUS,CSE-PC-AZURE-SERVICEBUS-13121,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/servicebus_namespace#customer_managed_key-1
1.31.2.2,1.31.2,service_bus_namespace_is_not_using_tls_version_1_2_or_higher,HIGH,Data Protection,custom,azure,Service Bus Namespace should use TLS version 1.2 or higher to ensure secure communication.,SERVICE_BUS,CSE-PC-AZURE-SERVICEBUS-13122,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/servicebus_namespace#minimum_tls_version-1
1.31.3.2,1.31.3,service_bus_namespace_is_not_using_premium_sku,CRITICAL,Network Security,custom,azure,Azure ServiceBus Namespace must be using premium SKU,SERVICE_BUS,CSE-PC-AZURE-SERVICEBUS-13132,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/servicebus_namespace#public_network_access_enabled-1
1.31.3.3,1.31.3,service_bus_namespace_have_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Disable public access to Azure ServiceBus Namespace,SERVICE_BUS,CSE-PC-AZURE-SERVICEBUS-13133,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/servicebus_namespace#sku-1
1.31.5.1,1.31.5,service_bus_namespace_is_missing_mandatory_tags,LOW,Governance,custom,azure,IT Hygiene:  Azure Service Bus must be tagged per standards,SERVICE_BUS,CSE-PC-AZURE-SERVICEBUS-13151,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/servicebus_namespace#tags-1
1.11.2.1,1.11.2,data_bricks_workspace_not_using_cmek_for_encryption,HIGH,Data Protection,custom,azure,Encryption at-rest: Use customer managed keys (CMK) to comply with CVS encryption standards,DATA_BRICKS,CSE-PC-AZURE-DATABRICKS-11121,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/databricks_workspace.html#customer_managed_key_enabled-1
1.11.3.1,1.11.3,data_bricks_workspace_public_network_access_is_enabled,CRITICAL,Network Security,custom,azure,Disable public access to Azure Databricks,DATA_BRICKS,CSE-PC-AZURE-DATABRICKS-11131,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/databricks_workspace#public_network_access_enabled-1
1.11.3.3,1.11.3,data_bricks_with_cluster_connectivity_is_using_public_ip,CRITICAL,Network Security,custom,azure,Deploy Azure Databricks workspace with Secure Cluster Connectivity (No Public IP),DATA_BRICKS,CSE-PC-AZURE-DATABRICKS-11133,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/databricks_workspace.html#no_public_ip-1
1.11.5.1,1.11.5,data_bricks_workspace_is_missing_manadatory_tags,LOW,Governance,custom,azure,IT Hygiene:  Azure Databricks must be tagged per standards,DATA_BRICKS,CSE-PC-AZURE-DATABRICKS-11151,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/databricks_workspace#tags-1
1.62.1.4,1.62.1,search_service_have_local_authentication_enabled,HIGH,IAM Protection,custom,azure,Azure Search Service must have local authentication enabled,SEARCH_SERVICE,CSE-PC-AZURE-SEARCHSERVICE-16214,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/search_service.html#local_authentication_enabled-1
1.62.2.3,1.62.2,search_service_is_not_enforcing_cmek_for_encryption,HIGH,Data Protection,custom,azure,Enforce customer managed key for encryption in Azure Search Service,SEARCH_SERVICE,CSE-PC-AZURE-SEARCHSERVICE-16223,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/search_service.html#customer_managed_key_enforcement_enabled-1
1.62.3.1,1.62.3,search_service_have_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Disable public access to Azure Search Service,SEARCH_SERVICE,CSE-PC-AZURE-SEARCHSERVICE-16231,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/search_service.html#public_network_access_enabled-1
1.62.5.1,1.62.5,search_service_is_missing_mandatory_tags,LOW,Governance,custom,azure,IT Hygiene: Azure Search Service must be tagged per standards,SEARCH_SERVICE,CSE-PC-AZURE-SEARCHSERVICE-16251,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/search_service.html#tags-1
1.73.1.4,1.73.1,azure_ai_language_service_has_local_authentication_enabled,HIGH,IAM Protection,custom,azure,Azure AI Language Service must have local authentication disabled,AI Language Service,CSE-PC-AZURE-LANGUAGESERVICE-17314,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#local_auth_enabled-1
1.73.2.3,1.73.2,azure_ai_language_service_not_configured_with_cmek,HIGH,Data Protection,custom,azure,Enforce customer managed key for encryption in Azure AI Language Service,AI Language Service,CSE-PC-AZURE-LANGUAGESERVICE-17323,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#customer_managed_key-1
1.73.3.1,1.73.3,azure_ai_language_service_has_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Disable public access to Azure AI Language Service,AI Language Service,CSE-PC-AZURE-LANGUAGESERVICE-17331,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#public_network_access_enabled-1
1.73.5.1,1.73.5,azure_ai_language_service_is_missing_required_tags,LOW,Governance,custom,azure,IT Hygiene: Azure AI Language Service must be tagged per standards,AI Language Service,CSE-PC-AZURE-LANGUAGESERVICE-17351,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#tags-1
1.77.1.4,1.77.1,azure_ai_speech_service_has_local_authentication_enabled,HIGH,IAM Protection,custom,azure,Azure AI Speech Service must have local authentication disabled,AI Speech Service,CSE-PC-AZURE-SPEECHSERVICE-17714,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#local_auth_enabled-1
1.77.2.3,1.77.2,azure_ai_speech_service_not_configured_with_cmek,HIGH,Data Protection,custom,azure,Enforce customer managed key for encryption in Azure AI Speech Service,AI Speech Service,CSE-PC-AZURE-SPEECHSERVICE-17723,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#customer_managed_key-1
1.77.3.1,1.77.3,azure_ai_speech_service_has_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Disable public access to Azure AI Speech Service,AI Speech Service,CSE-PC-AZURE-SPEECHSERVICE-17731,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#public_network_access_enabled-1
1.77.5.1,1.77.5,azure_ai_speech_service_is_missing_required_tags,LOW,Governance,custom,azure,IT Hygiene: Azure AI Speech Service must be tagged per standards,AI Speech Service,CSE-PC-AZURE-SPEECHSERVICE-17751,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#tags-1
2.14.4.1,2.14.4,gke_cluster_is_missing_labels,LOW,Governance,custom,gcp,Clusters must be labelled per standards,GKE,CSE-PC-GCP-GKE-21441,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/container_cluster#resource_labels-2
2.14.4.6,2.14.4,gke_cluster_release_channel_is_not_set,MEDIUM,Cluster and Node Governance,custom,gcp,Clusters must use Release Channel for version management,GKE,CSE-PC-GCP-GKE-21446,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/container_cluster#release_channel-1
2.14.2.4,2.14.2,gke_worker_node_boot_disks_is_not_encrypted_using_cmek,HIGH,Data Protection,custom,gcp,Worker node boot disks must be encrypted using CMEK,GKE,CSE-PC-GCP-GKE-21424,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/container_cluster#boot_disk_kms_key-1
2.14.4.5,2.14.4,integrity_monitoring_is_disabled_for_shielded_worker_nodes,MEDIUM,Cluster and Node Governance,custom,gcp,Integrity Monitoring must be enabled for Shielded worker nodes for standard clusters,GKE,CSE-PC-GCP-GKE-21445,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/container_cluster#enable_integrity_monitoring-1
2.14.4.7,2.14.4,node_auto_repair_disabled,MEDIUM,Cluster and Node Governance,custom,gcp,Worker nodes must have auto-repair feature turned on,GKE,CSE-PC-GCP-GKE-21447,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/container_node_pool#auto_repair-1
2.14.4.4,2.14.4,secure_boot_is_disabled_for_shielded_worker_nodes,MEDIUM,Cluster and Node Governance,custom,gcp,Secure boot must be enabled that only runs authentic software by verifying the digital signature of all boot components,GKE,CSE-PC-GCP-GKE-21444,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/container_cluster#enable_secure_boot-1
2.25.1.5,2.25.1,cloud_composer_is_attached_with_default_service_account,HIGH,IAM,custom,gcp,Default service should not be used when deploying composer environments,Cloud_Composer,CSE-PC-GCP-CLOUDCOMPOSER-22515,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/composer_environment#service_account-1
2.25.5.1,2.25.5,cloud_composer_is_deployed_in_unapproved_region,HIGH,Governance,custom,gcp,Composer environments should be deployed in approved regions useast4 uswest2 uscentral,Cloud_Composer,CSE-PC-GCP-CLOUDCOMPOSER-22551,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/composer_environment#region-2
2.25.2.1,2.25.2,cloud_composer_is_not_encrypted_with_CMEK_to_protect_data,HIGH,Data Protection,custom,gcp,Cloud Composer Environments must be encrypted with CVSH standard CMEK,Cloud_Composer,CSE-PC-GCP-CLOUDCOMPOSER-22521,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/composer_environment#kms_key_name-1
2.25.3.2,2.25.3,cloud_composer_is_not_set_to_use_private_ip,CRITICAL,Network Security,custom,gcp,Use Private IP mode network configuration Environment clusters should not have external IP addresses,Cloud_Composer,CSE-PC-GCP-CLOUDCOMPOSER-22532,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/composer_environment#enable_private_environment-1
2.40.2.4,2.40.2,cloud_spanner_db_deletion_protection_is_disabled,HIGH,Data Protection,custom,gcp,Ensure cloud spanner db have deletion protection enabled,Cloud_Spanner,CSE-PC-GCP-CLOUDSPANNER-24024,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/spanner_database#deletion_protection-1
2.40.2.1,2.40.2,cloud_spanner_db_is_not_using_cmek,HIGH,Data Protection,custom,gcp,CMEK should be used in place of GMEK,Cloud_Spanner,CSE-PC-GCP-CLOUDSPANNER-24021,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/spanner_database#kms_key_name-2
2.40.2.5,2.40.2,cloud_spanner_is_not_deployed_in_valid_us_region,high,Data Protection,custom,gcp,Ensure cloud spanner is deployed in a valid US-region,Cloud_Spanner,CSE-PC-GCP-CLOUDSPANNER-24025,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/spanner_instance#config-2
1.80.1.4,1.80.1,azure_ai_translation_service_has_local_authentication_enabled,HIGH,IAM Protection,custom,azure,Azure AI Translation Service must have local authentication disabled,AI Translation Service,CSE-PC-AZURE-TRANSLATION-18014,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#local_auth_enabled-1
1.80.2.3,1.80.2,azure_ai_translation_service_not_configured_with_cmek,HIGH,Data Protection,custom,azure,Enforce customer managed key for encryption in Azure AI Translation Service,AI Translation Service,CSE-PC-AZURE-TRANSLATION-18023,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#customer_managed_key-1
1.80.3.1,1.80.3,azure_ai_translation_service_has_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Disable public access to Azure AI Transaltion Service,AI Translation Service,CSE-PC-AZURE-TRANSLATION-18031,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#public_network_access_enabled-1
1.80.5.1,1.80.5,azure_ai_translation_service_is_missing_required_tags,LOW,Governance,custom,azure,IT Hygiene: Azure AI Translation Service must be tagged per standards,AI Translation Service,CSE-PC-AZURE-TRANSLATION-18051,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#tags-1
