Primary_ID,Seconday_ID,Rule_Name,Severity,Category,Rule_Type,Cloud_Provider,Description,Service,CVS_Rule_ID,Terraform_URL
1.69.1.4,1.69.1,azure_ai_document_intelligence_has_local_authentication_enabled,HIGH,IAM Protection,custom,azure,Azure AI Document Intelligence Service must have local authentication disabled,Document Intelligence,CSE-PC-AZURE-DOCUMENTINTELLIGENCE-16914,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#local_auth_enabled-1
1.69.2.3,1.69.2,azure_ai_document_intelligence_not_configured_with_cmek,HIGH,Data Protection,custom,azure,Enforce customer managed key for encryption in Azure AI Document Intelligence,Document Intelligence,CSE-PC-AZURE-DOCUMENTINTELLIGENCE-16923,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#customer_managed_key-1
1.69.3.1,1.69.3,azure_ai_document_intelligence_has_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Disable public access to Azure Document Intelligence Service,Document Intelligence,CSE-PC-AZURE-DOCUMENTINTELLIGENCE-16931,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#public_network_access_enabled-1
1.69.5.1,1.69.5,azure_ai_document_intelligence_is_missing_required_tags,LOW,Governance,custom,azure,IT Hygiene: Azure Document Intelligence must be tagged per standards,Document Intelligence,CSE-PC-AZURE-DOCUMENTINTELLIGENCE-16951,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#tags-1
1.30.1.3,1.30.1,azure_eventgrid_domain_has_local_authentication_enabled,HIGH,Data Protection,custom,azure,Azure Event Grid domains should have local authentication methods disabled,EventGrid,CSE-AZURE-PC-EVENTGRIDDOMAIN-13013,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/eventgrid_domain#local_auth_enabled-1
1.30.3.3,1.30.3,azure_eventgrid_domain_has_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Azure Event Grid domain should disable public network access,EventGrid,CSE-AZURE-PC-EVENTGRIDDOMAIN-13033,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/eventgrid_domain#public_network_access_enabled-1
1.30.3.2,1.30.3,azure_eventgrid_namespace_has_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Azure Event Grid namespaces should disable public network access,EventGrid,CSE-AZURE-PC-EVENTGRIDNAMESPACE-13032,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/eventgrid_namespace#public_network_access-1
1.30.1.4,1.30.1,azure_eventgrid_topic_has_local_authentication_enabled,HIGH,Data Protection,custom,azure,Azure Event Grid topics should have local authentication methods disabled,EventGrid,CSE-AZURE-PC-EVENTGRIDTOPIC-13014,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/eventgrid_topic#local_auth_enabled-1
1.30.3.4,1.30.3,azure_eventgrid_topic_has_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Azure Event Grid topics should disable public network access,EventGrid,CSE-AZURE-PC-EVENTGRIDTOPIC-13034,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/eventgrid_topic#public_network_access_enabled-1
1.68.1.4,1.68.1,azure_custom_vision_resource_has_local_authentication_enabled,HIGH,IAM Protection,custom,azure,Azure Custom Vision Service must have local authentication disabled,Custom Vision,CSE-PC-AZURE-CUSTOMVISION-16814,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#local_auth_enabled-1
1.68.2.3,1.68.2,azure_custom_vision_resource_not_configured_with_cmek,HIGH,Data Protection,custom,azure,Enforce customer managed key for encryption in Azure Custom Vision Service Resource,Custom Vision,CSE-PC-AZURE-CUSTOMVISION-16823,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#customer_managed_key-1
1.68.3.1,1.68.3,azure_custom_vision_resource_has_public_network_access_enabled,CRITICAL,Network Security,custom,azure,Disable public access to Azure Custom Vision Service,Custom Vision,CSE-PC-AZURE-CUSTOMVISION-16831,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#public_network_access_enabled-1
1.68.5.1,1.68.5,azure_custom_vision_resource_is_missing_required_tags,LOW,Governance,custom,azure,IT Hygiene: Azure AI Custom Vision Service must be tagged per standards,Custom Vision,CSE-PC-AZURE-CUSOMVISION-16851,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cognitive_account#tags-1
2.38.5.2,2.38.5,data_fusion_instance_is_not_deployed_in_approved_location,HIGH,Governance,custom,gcp,Ensure instances are created in CVSH approved locations us-central1 us-east4 us-west2,DataFusion,CSE-PC-GCP-DATAFUSION-23852,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/data_fusion_instance#region-1
2.38.2.1,2.38.2,data_fusion_instance_is_not_encrypted_using_cmek,HIGH,Data Protection,custom,gcp,Ensure CMEK is required for Data Fusion instances,DataFusion,CSE-PC-GCP-DATAFUSION-23821,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/data_fusion_instance#crypto_key_config-1
2.38.3.1,2.38.3,data_fusion_instance_is_not_private,CRITICAL,Network Security,custom,gcp,Ensure that only Private instances are created,DataFusion,CSE-PC-GCP-DATAFUSION-23831,https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/data_fusion_instance#private_instance-1
