Primary_ID	Seconday_ID	Rule_Name	Severity	Category	Rule_Type	Cloud_Provider	Description	Service	CVS_Rule_ID	Terraform_URL
1.16.1.1	1.16.1	sql_server_has_only_read_authentication_for_admin	high	IAM	custom	azure	In Azure Portal - Azure SQL Server - Settings - Microsoft Entra ID	SQL_SERVER	CSE-PC-AZURE-SQLSERVER-11611	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/sql_active_directory_administrator
1.16.1.4	1.16.1	sql_server_is_not_enabled_with_managed_identity	high	IAM	custom	azure	In Azure Portal - Azure SQL Server - Settings - Remove Admin	SQL_SERVER	CSE-PC-AZURE-SQLSERVER-11614	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mssql_server#identity_ids
1.16.2.1	1.16.2	sql_server_is_not_configured_with_cmek_for_transparent_data_encryption	high	Data Protection	custom	azure	In Azure Portal - Azure SQL Server - Security - Transparent data encryption - set Customer-managed key	SQL_SERVER	CSE-PC-AZURE-SQLSERVER-11621	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mssql_server_transparent_data_encryption
1.16.2.2	1.16.2	sql_db_is_not_configured_with_cmek_for_transparent_data_encryption	high	Data Protection	custom	azure	In Azure Portal - Azure SQL database - Security - Data Encryption - set On -Enabled CMK 	SQL_SERVER	CSE-PC-AZURE-SQLSERVER-11622	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mssql_database#transparent_data_encryption_enabled
1.16.2.3	1.16.2	sql_server_is_not_configured_with_tls_1_2	low	Data Protection	custom	azure	In Azure Portal - Azure SQL Server - Security - Identity - Enable managed identity on.	SQL_SERVER	CSE-PC-AZURE-SQLSERVER-11623	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mssql_server#minimum_tls_version
1.16.3.1	1.16.3	sql_server_is_not_configured_with_private_endpoint	critical	Network Security Controls	custom	azure	In Azure Portal - Azure SQL Server - Security - Networking - Private access - Create private endpoint	SQL_SERVER	CSE-PC-AZURE-SQLSERVER-11631	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/private_endpoint
1.16.5.1	1.16.5	sql_server_must_be_tagged_as_per_standards	low	Governance	custom	azure	Following standard tags must be present - ITPMID ; Environmenttype ; Sharedemailaddress; Costcenter; Dataclassification	SQL_SERVER	CSE-PC-AZURE-SQLSERVER-11651	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mssql_server#tags
2.8.3.3	2.8.3	pubsub_location_is_set_to_non_us_region	critical	Network Security	custom	gcp	PubSub is a global resource but the Resource Location constraint limits usage to US regions global is not allowed	PUBSUB	CSE-PC-GCP-PUBSUB-2833	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/pubsub_topic#allowed_persistence_regions
2.8.2.1	2.8.2	pubsub_topic_is_missing_cmek	high	Data Protection	custom	gcp	Encrypt PubSub messages by using CMEK	PUBSUB	CSE-PC-GCP-PUBSUB-2821	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/pubsub_topic#kms_key_name
2.8.1.3	2.8.1	pubsub_topic_is_missing_encrypt_decrypt_role_on_cmek	critical	IAM	custom	gcp	PubSub service agent must have encrypt decrypt role on appropriate CMEK	PUBSUB	CSE-PC-GCP-PUBSUB-2813	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/google_kms_crypto_key_iam.html#role
2.8.1.7	2.8.1	service_account_is_not_used_to_access_pubsub_subscription	critical	IAM	custom	gcp	Service accounts with automation and no human access must be used for any roles that can change security on topics and subscriptions	PUBSUB	CSE-PC-GCP-PUBSUB-2817	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/pubsub_topic_iam#member/members
2.8.1.1	2.8.1	service_account_is_not_used_to_access_pubsub_topic	critical	IAM	custom	gcp	Service accounts with automation and no human access must be used for any roles that can change security on topics and subscriptions	PUBSUB	CSE-PC-GCP-PUBSUB-2811	https://registry.terraform.io/providers/hashicorp/google/latest/docs/resources/pubsub_topic_iam#member/members
1.35.5.2	1.35.5	app_gateway_is_not_using_v2_sku	high	Governance	custom	azure	Only Private App gateway V2 has to be used	APPGATEWAY	CSE-PC-AZURE-APPGATEWAY-13552	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/application_gateway#sku
1.35.2.2	1.35.2	app_gateway_is_not_using_tls_v1_2_or_higher	high	Data Protection	custom	azure	Configure minimum required version of Transport Layer Security	APPGATEWAY	CSE-PC-AZURE-APPGATEWAY-13522	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/application_gateway#disabled_protocols
1.35.5.1	1.35.5	app_gateway_is_missing_tags	low	Governance	custom	azure	IT Hygiene:Function must be tagged per standards	APPGATEWAY	CSE-PC-AZURE-APPGATEWAY-13551	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/application_gateway#tags
